2021-02-01 17:21:22 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-02-01 17:21:22 status unpacked mawk:amd64 1.3.4.20200120-2
2021-02-01 17:21:22 status half-configured mawk:amd64 1.3.4.20200120-2
2021-02-01 17:21:22 status installed mawk:amd64 1.3.4.20200120-2
2021-02-01 17:21:22 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2021-02-01 17:21:22 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-02-01 17:21:22 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2021-02-01 17:21:22 status installed libdebconfclient0:amd64 0.251ubuntu1
2021-02-01 17:21:22 configure base-files:amd64 11ubuntu5 <none>
2021-02-01 17:21:22 status unpacked base-files:amd64 11ubuntu5
2021-02-01 17:21:22 status half-configured base-files:amd64 11ubuntu5
2021-02-01 17:21:23 status installed base-files:amd64 11ubuntu5
2021-02-01 17:21:23 configure libbz2-1.0:amd64 1.0.8-2 <none>
2021-02-01 17:21:23 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-02-01 17:21:23 status half-configured libbz2-1.0:amd64 1.0.8-2
2021-02-01 17:21:23 status installed libbz2-1.0:amd64 1.0.8-2
2021-02-01 17:21:23 configure base-passwd:amd64 3.5.47 <none>
2021-02-01 17:21:23 status unpacked base-passwd:amd64 3.5.47
2021-02-01 17:21:23 status half-configured base-passwd:amd64 3.5.47
2021-02-01 17:21:23 status installed base-passwd:amd64 3.5.47
